Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,14.65,85.35,0.00,0.00,0.00,0.00,85
2024-01-09,0.00,100.00,85.35,0.00,0.00,0.00,185
2024-01-02,0.00,100.00,98.29,0.00,0.00,0.00,198
2023-12-26,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-12-19,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-12-12,0.00,100.00,100.00,69.66,0.00,0.00,270
2023-12-05,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-28,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-21,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-14,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-11-07,0.00,100.00,89.90,0.00,0.00,0.00,190
2023-10-31,0.00,100.00,4.95,0.00,0.00,0.00,105
2023-10-24,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-10-17,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-10-10,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-10-03,45.66,54.34,0.00,0.00,0.00,0.00,54
2023-09-26,45.66,54.34,0.00,0.00,0.00,0.00,54
2023-09-19,45.66,54.34,0.00,0.00,0.00,0.00,54
2023-09-12,45.66,54.34,0.00,0.00,0.00,0.00,54
2023-09-05,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-08-29,73.47,26.53,0.00,0.00,0.00,0.00,27
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-20,26.76,73.24,0.00,0.00,0.00,0.00,73
2023-06-13,27.58,72.42,0.00,0.00,0.00,0.00,72
2023-06-06,67.99,32.01,0.00,0.00,0.00,0.00,32
2023-05-30,66.62,33.38,0.00,0.00,0.00,0.00,33
2023-05-23,65.90,34.10,0.00,0.00,0.00,0.00,34
2023-05-16,34.77,65.23,0.00,0.00,0.00,0.00,65
2023-05-09,34.77,65.23,0.00,0.00,0.00,0.00,65
2023-05-02,34.77,65.23,0.00,0.00,0.00,0.00,65
2023-04-25,7.21,92.79,0.00,0.00,0.00,0.00,93
2023-04-18,7.21,92.79,0.00,0.00,0.00,0.00,93
2023-04-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-21,20.38,79.62,0.00,0.00,0.00,0.00,80
2023-03-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-20,13.58,86.42,0.00,0.00,0.00,0.00,86
2022-12-13,13.58,86.42,0.00,0.00,0.00,0.00,86
2022-12-06,13.58,86.42,0.00,0.00,0.00,0.00,86
2022-11-29,13.58,86.42,0.00,0.00,0.00,0.00,86
2022-11-22,13.58,86.42,0.00,0.00,0.00,0.00,86
2022-11-15,13.58,86.42,0.00,0.00,0.00,0.00,86
2022-11-08,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-01,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-10-25,18.17,81.83,0.00,0.00,0.00,0.00,82
2022-10-18,99.88,0.12,0.00,0.00,0.00,0.00,0
2022-10-11,99.88,0.12,0.00,0.00,0.00,0.00,0
2022-10-04,99.88,0.12,0.00,0.00,0.00,0.00,0
2022-09-27,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-09-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-06,99.71,0.29,0.00,0.00,0.00,0.00,0
2022-08-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-08-23,100.00,0.00,0.00,0.00,0.00,0.00,0
