Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,0.00,100.00,0.00,0.00,0.00,0.00,100
2024-01-02,0.00,100.00,77.85,0.00,0.00,0.00,178
2023-12-26,0.00,100.00,79.68,0.00,0.00,0.00,180
2023-12-19,0.00,100.00,79.68,0.00,0.00,0.00,180
2023-12-12,0.00,100.00,100.00,15.18,0.00,0.00,215
2023-12-05,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-28,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-21,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-14,0.00,100.00,100.00,15.22,0.00,0.00,215
2023-11-07,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-10-31,0.00,100.00,49.37,0.00,0.00,0.00,149
2023-10-24,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-10-17,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-10-10,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-10-03,32.37,67.63,0.00,0.00,0.00,0.00,68
2023-09-26,32.37,67.63,0.00,0.00,0.00,0.00,68
2023-09-19,32.37,67.63,0.00,0.00,0.00,0.00,68
2023-09-12,32.37,67.63,0.00,0.00,0.00,0.00,68
2023-09-05,21.87,78.13,0.00,0.00,0.00,0.00,78
2023-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-06-20,89.51,10.49,0.00,0.00,0.00,0.00,10
2023-06-13,89.51,10.49,0.00,0.00,0.00,0.00,10
2023-06-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-25,54.35,45.65,0.00,0.00,0.00,0.00,46
2023-04-18,54.35,45.65,0.00,0.00,0.00,0.00,46
2023-04-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,25.78,74.22,0.00,0.00,0.00,0.00,74
