Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,69.25,30.75,0.00,0.00,0.00,0.00,31
2024-01-16,46.43,53.57,0.00,0.00,0.00,0.00,54
2024-01-09,0.00,100.00,53.57,0.00,0.00,0.00,154
2024-01-02,0.00,100.00,76.12,0.87,0.00,0.00,177
2023-12-26,0.00,100.00,76.12,23.90,0.00,0.00,200
2023-12-19,0.00,100.00,76.12,23.90,0.00,0.00,200
2023-12-12,0.00,100.00,96.73,23.90,0.00,0.00,221
2023-12-05,0.00,100.00,100.00,88.86,0.00,0.00,289
2023-11-28,0.00,100.00,100.00,88.86,0.00,0.00,289
2023-11-21,0.00,100.00,100.00,88.42,0.45,0.00,289
2023-11-14,0.00,100.00,100.00,23.14,0.42,0.00,224
2023-11-07,0.00,100.00,100.00,22.30,0.42,0.00,223
2023-10-31,0.00,100.00,97.53,22.30,0.00,0.00,220
2023-10-24,0.00,100.00,73.99,22.30,0.00,0.00,196
2023-10-17,0.00,100.00,73.99,22.30,0.00,0.00,196
2023-10-10,1.85,98.15,68.76,0.00,0.00,0.00,167
2023-10-03,1.85,98.15,68.76,0.00,0.00,0.00,167
2023-09-26,1.85,98.15,68.76,0.00,0.00,0.00,167
2023-09-19,1.85,98.15,71.05,30.57,0.00,0.00,200
2023-09-12,1.85,98.15,71.05,0.00,0.00,0.00,169
2023-09-05,1.85,98.15,71.05,0.00,0.00,0.00,169
2023-08-29,28.49,71.51,0.00,0.00,0.00,0.00,72
2023-08-22,28.55,71.45,0.00,0.00,0.00,0.00,71
2023-08-15,99.96,0.04,0.00,0.00,0.00,0.00,0
2023-08-08,99.97,0.03,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,85.16,14.84,0.00,0.00,0.00,0.00,15
2023-07-04,85.51,14.49,0.00,0.00,0.00,0.00,14
2023-06-27,84.50,15.50,0.00,0.00,0.00,0.00,16
2023-06-20,0.00,100.00,15.47,0.00,0.00,0.00,115
2023-06-13,0.00,100.00,15.47,0.00,0.00,0.00,115
2023-06-06,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-09,72.47,27.53,0.00,0.00,0.00,0.00,28
2023-05-02,72.47,27.53,0.00,0.00,0.00,0.00,28
2023-04-25,0.00,100.00,73.75,0.00,0.00,0.00,174
2023-04-18,0.00,100.00,73.75,0.00,0.00,0.00,174
2023-04-11,0.00,100.00,84.44,0.00,0.00,0.00,184
2023-04-04,0.00,100.00,99.20,0.00,0.00,0.00,199
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-08,13.67,86.33,0.00,0.00,0.00,0.00,86
2022-11-01,37.63,62.37,0.00,0.00,0.00,0.00,62
2022-10-25,95.93,4.07,0.00,0.00,0.00,0.00,4
2022-10-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-27,49.41,50.59,0.00,0.00,0.00,0.00,51
2022-09-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-08-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-08-23,100.00,0.00,0.00,0.00,0.00,0.00,0
