Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,98.47,1.53,0.00,0.00,0.00,0.00,2
2024-01-09,14.98,85.02,1.53,0.00,0.00,0.00,87
2024-01-02,0.00,100.00,84.35,0.00,0.00,0.00,184
2023-12-26,0.00,100.00,97.46,0.00,0.00,0.00,197
2023-12-19,0.00,100.00,97.46,0.00,0.00,0.00,197
2023-12-12,0.00,100.00,97.21,0.00,0.00,0.00,197
2023-12-05,0.00,100.00,97.21,32.19,0.00,0.00,229
2023-11-28,0.00,100.00,97.35,32.19,0.00,0.00,230
2023-11-21,0.00,100.00,97.50,32.15,0.00,0.00,230
2023-11-14,0.00,100.00,97.50,31.74,0.00,0.00,229
2023-11-07,0.00,100.00,97.50,31.74,0.00,0.00,229
2023-10-31,0.00,100.00,69.78,31.74,0.00,0.00,202
2023-10-24,0.00,100.00,71.16,15.90,0.00,0.00,187
2023-10-17,0.00,100.00,71.16,15.90,0.00,0.00,187
2023-10-10,0.00,100.00,71.16,15.90,0.00,0.00,187
2023-10-03,0.00,100.00,71.16,15.90,0.00,0.00,187
2023-09-26,0.00,100.00,71.16,15.90,0.00,0.00,187
2023-09-19,0.00,100.00,79.42,19.01,0.00,0.00,198
2023-09-12,0.00,100.00,79.42,19.01,0.00,0.00,198
2023-09-05,0.00,100.00,79.42,28.94,0.00,0.00,208
2023-08-29,3.38,96.62,56.49,18.83,0.00,0.00,172
2023-08-22,3.36,96.64,34.60,0.00,0.00,0.00,131
2023-08-15,3.36,96.64,34.60,0.00,0.00,0.00,131
2023-08-08,3.36,96.64,0.00,0.00,0.00,0.00,97
2023-08-01,3.36,96.64,0.00,0.00,0.00,0.00,97
2023-07-25,3.36,96.64,6.47,0.00,0.00,0.00,103
2023-07-18,3.24,96.76,6.47,0.00,0.00,0.00,103
2023-07-11,0.00,100.00,27.82,0.00,0.00,0.00,128
2023-07-04,0.00,100.00,27.82,0.00,0.00,0.00,128
2023-06-27,0.00,100.00,29.53,0.00,0.00,0.00,130
2023-06-20,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-06-13,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-06-06,0.00,100.00,72.02,0.00,0.00,0.00,172
2023-05-30,4.08,95.92,26.19,0.00,0.00,0.00,122
2023-05-23,4.14,95.86,25.04,0.00,0.00,0.00,121
2023-05-16,4.14,95.86,25.04,0.00,0.00,0.00,121
2023-05-09,0.00,100.00,69.68,0.00,0.00,0.00,170
2023-05-02,0.00,100.00,69.68,0.00,0.00,0.00,170
2023-04-25,0.00,100.00,69.68,0.00,0.00,0.00,170
2023-04-18,0.00,100.00,70.56,0.00,0.00,0.00,171
2023-04-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-13,99.93,0.07,0.00,0.00,0.00,0.00,0
2022-12-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-11-08,7.44,92.56,0.00,0.00,0.00,0.00,93
2022-11-01,27.13,72.87,0.00,0.00,0.00,0.00,73
2022-10-25,27.13,72.87,0.00,0.00,0.00,0.00,73
2022-10-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-08-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-08-23,100.00,0.00,0.00,0.00,0.00,0.00,0
