Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,96.11,3.89,0.00,0.00,0.00,0.00,4
2024-01-09,0.00,100.00,3.89,0.00,0.00,0.00,104
2024-01-02,0.00,100.00,60.35,0.00,0.00,0.00,160
2023-12-26,0.00,100.00,94.97,0.00,0.00,0.00,195
2023-12-19,0.00,100.00,94.97,0.00,0.00,0.00,195
2023-12-12,0.00,100.00,100.00,13.44,0.00,0.00,213
2023-12-05,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-28,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-21,0.00,100.00,100.00,100.00,0.00,0.00,300
2023-11-14,0.00,100.00,100.00,69.18,0.00,0.00,269
2023-11-07,0.00,100.00,100.00,27.79,0.00,0.00,228
2023-10-31,0.00,100.00,45.74,0.00,0.00,0.00,146
2023-10-24,0.00,100.00,44.63,0.00,0.00,0.00,145
2023-10-17,0.00,100.00,44.63,0.00,0.00,0.00,145
2023-10-10,0.00,100.00,15.02,0.00,0.00,0.00,115
2023-10-03,0.00,100.00,15.02,0.00,0.00,0.00,115
2023-09-26,0.00,100.00,15.02,0.00,0.00,0.00,115
2023-09-19,0.00,100.00,15.02,0.00,0.00,0.00,115
2023-09-12,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-09-05,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,99.89,0.11,0.00,0.00,0.00,0.00,0
2023-07-04,99.89,0.11,0.00,0.00,0.00,0.00,0
2023-06-27,93.65,6.35,0.00,0.00,0.00,0.00,6
2023-06-20,0.37,99.63,0.00,0.00,0.00,0.00,100
2023-06-13,0.37,99.63,0.00,0.00,0.00,0.00,100
2023-06-06,14.35,85.65,0.00,0.00,0.00,0.00,86
2023-05-30,63.65,36.35,0.00,0.00,0.00,0.00,36
2023-05-23,63.49,36.51,0.00,0.00,0.00,0.00,37
2023-05-16,63.49,36.51,0.00,0.00,0.00,0.00,37
2023-05-09,63.49,36.51,0.00,0.00,0.00,0.00,37
2023-05-02,63.49,36.51,0.00,0.00,0.00,0.00,37
2023-04-25,0.00,100.00,0.15,0.00,0.00,0.00,100
2023-04-18,0.00,100.00,0.15,0.00,0.00,0.00,100
2023-04-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-21,77.56,22.44,0.00,0.00,0.00,0.00,22
2023-03-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-20,97.65,2.35,0.00,0.00,0.00,0.00,2
2022-12-13,74.05,25.95,0.00,0.00,0.00,0.00,26
2022-12-06,74.05,25.95,0.00,0.00,0.00,0.00,26
2022-11-29,74.05,25.95,0.00,0.00,0.00,0.00,26
2022-11-22,74.05,25.95,0.00,0.00,0.00,0.00,26
2022-11-15,74.05,25.95,0.00,0.00,0.00,0.00,26
2022-11-08,6.34,93.66,0.00,0.00,0.00,0.00,94
2022-11-01,6.34,93.66,0.00,0.00,0.00,0.00,94
2022-10-25,6.92,93.08,0.00,0.00,0.00,0.00,93
2022-10-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-10-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-09-27,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-09-20,18.31,81.69,0.00,0.00,0.00,0.00,82
2022-09-13,18.31,81.69,0.00,0.00,0.00,0.00,82
2022-09-06,12.43,87.57,0.00,0.00,0.00,0.00,88
2022-08-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-08-23,100.00,0.00,0.00,0.00,0.00,0.00,0
