Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-12,91.33,8.67,0.00,0.00,0.00,0.00,9
2023-12-05,69.69,30.31,0.00,0.00,0.00,0.00,30
2023-11-28,69.69,30.31,0.00,0.00,0.00,0.00,30
2023-11-21,50.41,49.59,0.00,0.00,0.00,0.00,50
2023-11-14,50.41,49.59,0.00,0.00,0.00,0.00,50
2023-11-07,67.44,32.56,0.00,0.00,0.00,0.00,33
2023-10-31,67.97,32.03,0.00,0.00,0.00,0.00,32
2023-10-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-19,98.96,1.04,0.00,0.00,0.00,0.00,1
2023-09-12,98.96,1.04,0.00,0.00,0.00,0.00,1
2023-09-05,48.40,51.60,0.00,0.00,0.00,0.00,52
2023-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-04,71.96,28.04,0.00,0.00,0.00,0.00,28
2023-06-27,71.96,28.04,0.00,0.00,0.00,0.00,28
2023-06-20,71.76,28.24,0.00,0.00,0.00,0.00,28
2023-06-13,85.82,14.18,0.00,0.00,0.00,0.00,14
2023-06-06,85.82,14.18,0.00,0.00,0.00,0.00,14
2023-05-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-04-25,99.48,0.52,0.00,0.00,0.00,0.00,1
2023-04-18,52.68,47.32,0.00,0.00,0.00,0.00,47
2023-04-11,32.36,67.64,0.00,0.00,0.00,0.00,68
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
