Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-02,99.59,0.41,0.00,0.00,0.00,0.00,0
2023-12-26,47.13,52.87,0.00,0.00,0.00,0.00,53
2023-12-19,46.49,53.51,0.00,0.00,0.00,0.00,54
2023-12-12,0.00,100.00,12.85,0.00,0.00,0.00,113
2023-12-05,0.00,100.00,15.26,0.00,0.00,0.00,115
2023-11-28,0.00,100.00,14.30,0.00,0.00,0.00,114
2023-11-21,0.00,100.00,13.19,0.00,0.00,0.00,113
2023-11-14,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-11-07,1.17,98.83,0.00,0.00,0.00,0.00,99
2023-10-31,0.56,99.44,0.00,0.00,0.00,0.00,99
2023-10-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-19,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-09-12,89.08,10.92,0.00,0.00,0.00,0.00,11
2023-09-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,33.16,66.84,0.00,0.00,0.00,0.00,67
2023-07-25,33.16,66.84,21.44,0.00,0.00,0.00,88
2023-07-18,0.00,100.00,21.44,0.00,0.00,0.00,121
2023-07-11,0.00,100.00,77.19,0.00,0.00,0.00,177
2023-07-04,0.00,100.00,77.19,0.00,0.00,0.00,177
2023-06-27,0.00,100.00,98.51,0.00,0.00,0.00,199
2023-06-20,0.00,100.00,98.51,0.00,0.00,0.00,199
2023-06-13,0.00,100.00,93.99,0.00,0.00,0.00,194
2023-06-06,0.00,100.00,92.34,0.00,0.00,0.00,192
2023-05-30,0.00,100.00,7.68,0.00,0.00,0.00,108
2023-05-23,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-16,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-09,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-05-02,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-04-25,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-18,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-11,0.00,100.00,100.00,0.00,0.00,0.00,200
2023-04-04,0.00,100.00,67.81,0.00,0.00,0.00,168
2023-03-28,0.00,100.00,67.81,0.00,0.00,0.00,168
